"Num";"CNTY";"DIFF";"STATUS";"HECTARE";"ToF";"OWNLAND";"AGE";"HARVEST";"r1";"r2";"r3";"r4";"r5";"r6";"r7";"r8";"r11";"r12";"r14";"r17";"r18";"r19";"r21";"r22";"r24";"r28";"r30";"r32";"r36";"r37"
130;27;1;1;139;1;1;52;89;0,35;0,7;0,2;0,07;0,28;0,59;0,47;0,12;0,53;0,82;0,18;0,09;0,05;0,13;0,14;0,35;0,21;0,36;0,24;0,31;1,07;0,58
131;27;1;1;57;3;1;49;89;0,13;0,88;0,15;0,02;0,11;0,35;0,29;0,05;0,68;1,1;0,07;0,08;0,03;0,06;0,07;0,17;0,15;0,38;0,32;0,35;1,84;0,39
132;27;1;0;220;1;0;44;89;0,49;0,65;0,43;0,21;0,28;0,83;0,47;0,35;0,44;0,68;0,44;0,05;0,04;0,17;0,11;0,49;0,21;0,35;0,18;0,31;0,91;0,59
133;27;1;1;110;1;1;40;89;0,44;0,6;0,16;0,07;0,38;0,85;0,72;0,13;0,37;0,6;0,26;0,07;0,06;0,22;0,15;0,59;0,2;0,38;0,16;0,32;1,41;0,52
134;27;1;1;132;1;1;45;89;0,26;0,76;0,09;0,02;0,24;0,75;0,7;0,05;0,58;1,01;0,07;0,08;0,06;0,15;0,14;0,36;0,15;0,43;0,27;0,37;2,15;0,36
135;27;1;0;136;1;0;35;89;0,12;0,91;0,2;0,02;0,09;0,18;0,11;0,05;0,85;1,48;0,07;0,11;0,02;0,06;0,03;0,12;0,37;0,48;0,38;0,43;0,39;0,79
136;27;1;1;84;3;1;40;89;0,36;0,81;0,59;0,21;0,15;0,62;0,25;0,36;0,26;0,34;0,58;0,11;0,07;0,3;0,28;1,23;0,14;0,24;-0,06;0,18;1,07;0,59
137;27;1;1;119;3;0;49;89;0,42;0,64;0,22;0,09;0,33;0,65;0,51;0,14;0,27;0,4;0,35;0,09;0,06;0,15;0,18;0,44;0,22;0,34;0,19;0,27;1,12;0,65
138;27;1;1;97;1;1;40;89;0,71;0,32;0,11;0,08;0,63;0,98;0,88;0,11;0,61;1,1;0,15;0,04;0,04;0,12;0,09;0,26;0,32;0,45;0,33;0,41;0,68;0,72
139;27;1;1;73;3;0;35;89;0,5;0,54;0,13;0,07;0,43;0,87;0,76;0,11;0,49;0,76;0,19;0,06;0,05;0,18;0,15;0,52;0,2;0,35;0,17;0,3;1,14;0,57
140;27;1;1;36;3;1;28;89;0,74;0,29;0,11;0,08;0,65;1,65;1,24;0,17;0,2;0,34;0,47;0,05;0,08;0,13;0,19;0,32;0,19;0,42;0,29;0,34;1,87;0,45
141;27;1;1;78;3;1;35;89;0,21;0,81;0,13;0,03;0,19;0,48;0,42;0,06;0,86;1,2;0,07;0,08;0,04;0,09;0,14;0,33;0,13;0,28;0,19;0,24;1,35;0,44
142;27;1;1;94;1;1;35;89;0,79;0,25;0,19;0,15;0,63;1,69;1,24;0,33;0,47;0,86;0,41;0,09;0,15;0,28;0,33;0,61;0,21;0,46;0,18;0,31;1,36;0,47
143;27;1;0;97;4;0;48;89;0,54;0,5;0,15;0,08;0,46;0,59;0,5;0,09;0,47;0,78;0,15;0,1;0,06;0,11;0,15;0,29;0,36;0,39;0,27;0,33;0,53;0,91
144;27;1;0;91;3;0;52;89;0,45;0,61;0,23;0,1;0,35;0,64;0,5;0,15;0,31;0,45;0,32;0,06;0,04;0,11;0,12;0,37;0,22;0,31;0,19;0,27;0,96;0,71
145;27;1;1;101;1;1;45;89;0,22;0,89;0,56;0,12;0,1;0,31;0,14;0,17;0,78;1,41;0,18;0,02;0,01;0,05;0,02;0,1;0,32;0,45;0,38;0,43;0,46;0,71
146;27;1;1;65;3;1;37;89;0,43;0,62;0,18;0,08;0,35;0,74;0,61;0,13;0,41;0,61;0,24;0,07;0,05;0,13;0,17;0,39;0,19;0,33;0,2;0,27;1,2;0,57
147;27;1;1;101;1;1;42;89;0,21;0,87;0,4;0,08;0,12;0,3;0,18;0,12;0,89;1,46;0,11;0,03;0,01;0,08;0,03;0,27;0,21;0,31;0,22;0,3;0,35;0,68
148;27;1;0;61;3;1;31;89;0,21;0,86;0,38;0,08;0,13;0,26;0,16;0,1;0,09;0,14;0,52;0,07;0,02;0,08;0,05;0,22;0,29;0,35;0,28;0,34;1,02;0,83
149;27;1;1;102;3;1;49;89;0,37;0,71;0,3;0,11;0,26;0,63;0,44;0,19;0,74;1,46;0,2;0,09;0,06;0,15;0,11;0,29;0,29;0,48;0,35;0,43;0,78;0,59
150;27;1;1;110;1;0;45;89;0,44;0,75;0,57;0,25;0,19;0,56;0,24;0,32;0,36;0,59;0,47;0,1;0,05;0,17;0,14;0,45;0,31;0,39;0,21;0,33;0,58;0,79
151;27;1;1;62;3;1;44;89;0,39;0,75;0,49;0,19;0,2;0,66;0,34;0,32;0,75;1,18;0,3;0,1;0,07;0,17;0,18;0,46;0,22;0,37;0,2;0,3;0,61;0,6
152;27;1;1;117;1;1;45;89;0,28;0,75;0,18;0,05;0,23;0,55;0,45;0,1;0,89;1,48;0,09;0,05;0,03;0,07;0,05;0,13;0,28;0,48;0,38;0,43;0,85;0,52
153;27;1;1;91;3;1;40;89;0,29;0,74;0,14;0,04;0,25;0,73;0,62;0,1;0,72;1,48;0,13;0,08;0,06;0,13;0,11;0,25;0,21;0,48;0,38;0,43;1,66;0,4
154;27;1;1;119;1;1;32;89;0,47;0,62;0,31;0,15;0,33;0,71;0,49;0,22;0,76;1,23;0,22;0,05;0,04;0,16;0,1;0,43;0,25;0,38;0,21;0,34;0,53;0,66
155;27;1;1;133;4;1;49;89;0,43;0,71;0,45;0,19;0,24;0,5;0,27;0,23;0,41;0,67;0,36;0,05;0,03;0,09;0,06;0,23;0,33;0,39;0,3;0,36;0,53;0,86
156;27;1;1;116;3;1;42;89;0,51;0,51;0,09;0,04;0,47;1,42;1,24;0,1;0,34;0,59;0,23;0,08;0,11;0,21;0,26;0,5;0,15;0,42;0,21;0,31;2,15;0,36
157;27;1;1;90;3;1;49;89;0,23;0,82;0,26;0,06;0,17;0,45;0,33;0,12;0,43;0,62;0,21;0,03;0,01;0,1;0,05;0,34;0,16;0,31;0,2;0,29;1,41;0,51
158;27;1;0;92;3;0;35;89;0,35;0,66;0,09;0,02;0,33;0,51;0,48;0,05;0,41;0,69;0,07;0,04;0,02;0,28;0,04;0,67;0,28;0,41;0,14;0,39;1,02;0,69
159;27;1;1;92;3;1;51;89;0,19;0,84;0,2;0,04;0,15;0,57;0,46;0,12;0,35;0,59;0,25;0,1;0,06;0,18;0,14;0,45;0,13;0,4;0,22;0,35;2,15;0,36
160;27;1;1;144;1;1;32;89;0,5;0,58;0,26;0,13;0,37;1,17;0,87;0,3;0,64;1,19;0,32;0,06;0,07;0,15;0,15;0,32;0,2;0,46;0,32;0,39;1,41;0,43
161;27;1;1;159;1;1;49;89;0,46;0,66;0,4;0,18;0,28;0,78;0,47;0,31;0,49;0,81;0,38;0,06;0,04;0,1;0,11;0,26;0,23;0,39;0,29;0,35;0,88;0,59
162;27;1;1;131;1;1;58;89;0,5;0,58;0,26;0,13;0,37;0,98;0,72;0,25;0,65;1,1;0,28;0,06;0,05;0,12;0,13;0,3;0,21;0,41;0,28;0,35;1,05;0,51
163;27;1;1;0;4;0;49;89;0,42;0,62;0,16;0,07;0,35;0,41;0,34;0,06;0,41;0,57;0,13;0,08;0,03;0,07;0,12;0,25;0,3;0,29;0,22;0,26;0,5;1,03
164;27;1;0;106;3;1;43;89;0,28;0,83;0,46;0,13;0,15;0,57;0,31;0,26;0,15;0,3;0,63;0,05;0,03;0,08;0,06;0,16;0,24;0,48;0,38;0,43;1,62;0,49
165;27;1;1;122;3;1;43;89;0,35;0,74;0,34;0,12;0,23;0,51;0,34;0,17;0,48;0,83;0,26;0,07;0,04;0,09;0,08;0,2;0,29;0,42;0,34;0,39;0,79;0,7
166;27;1;1;60;3;1;45;89;0,27;0,74;0,09;0,02;0,26;0,58;0,57;0,05;0,36;0,67;0,07;0,07;0,04;0,1;0,09;0,23;0,21;0,46;0,35;0,42;1,8;0,46
167;27;1;1;88;3;1;52;89;0,13;0,92;0,37;0,05;0,08;0,23;0,14;0,09;0,45;0,85;0,16;0,04;0,01;0,06;0,02;0,13;0,26;0,47;0,38;0,43;1,25;0,56
168;27;1;0;100;3;1;48;89;0,38;0,66;0,17;0,07;0,31;0,71;0,58;0,12;0,59;1,07;0,17;0,04;0,03;0,1;0,06;0,22;0,24;0,44;0,34;0,42;1,15;0,54
169;27;1;1;181;3;1;37;89;0,45;0,62;0,27;0,12;0,33;0,91;0,66;0,25;0,65;1;0,27;0,06;0,06;0,14;0,17;0,39;0,18;0,35;0,22;0,29;1,1;0,5
170;27;1;1;84;3;1;49;89;0,18;0,88;0,36;0,06;0,11;0,39;0,25;0,14;0,55;0,77;0,2;0,03;0,01;0,03;0,05;0,1;0,13;0,29;0,26;0,27;1,56;0,44
171;27;1;1;138;3;1;45;89;0,24;0,84;0,41;0,1;0,14;0,48;0,28;0,2;0,6;0,9;0,25;0,05;0,03;0,16;0,08;0,46;0,17;0,33;0,18;0,31;1,18;0,51
172;27;1;0;123;4;1;48;89;0,55;0,48;0,1;0,06;0,5;0,97;0,87;0,1;0,62;1;0,14;0,05;0,05;0,12;0,12;0,32;0,21;0,38;0,26;0,33;1,04;0,57
173;27;1;0;76;3;0;47;89;0,3;0,71;0,09;0,03;0,28;0,48;0,44;0,05;0,4;0,63;0,09;0,04;0,02;0,06;0,06;0,16;0,23;0,36;0,31;0,34;1,14;0,63
174;27;1;1;79;3;1;40;89;0,29;0,78;0,29;0,09;0,21;0,6;0,42;0,17;0,31;0,42;0,36;0,07;0,04;0,12;0,16;0,45;0,13;0,26;0,14;0,22;1,56;0,49
175;27;1;1;102;1;1;35;89;0,67;0,38;0,17;0,12;0,55;1,71;1,24;0,31;0,24;0,48;0,56;0,07;0,13;0,18;0,26;0,36;0,18;0,48;0,32;0,37;2,13;0,37
176;27;2;1;90;3;0;41;89;0,57;0,56;0,41;0,23;0,34;0,66;0,39;0,27;0,18;0,27;0,6;0,08;0,05;0,18;0,15;0,5;0,3;0,35;0,18;0,3;0,72;0,86
177;27;2;1;89;1;1;43;89;0,38;0,76;0,5;0,19;0,19;1,03;0,51;0,52;-0,23;-0,38;1,8;0,11;0,15;0,33;0,57;0,95;0,15;0,4;0,02;0,17;2,15;0,37
178;27;2;1;31;1;0;30;89;0,79;0,23;0,09;0,06;0,65;1,58;1,24;0,12;0,31;0,31;0,28;0,03;0,05;0,2;0,65;1,54;0,08;0,16;-0,09;0,06;1,58;0,5
179;27;2;1;77;3;1;40;89;0,7;0,44;0,45;0,31;0,38;1,56;0,86;0,7;-0,11;-0,13;1,18;0,06;0,09;0,25;0,5;1,33;0,08;0,19;-0,06;0,09;1,64;0,45
180;27;2;1;76;1;1;39;89;0,76;0,32;0,32;0,25;0,51;0,95;0,65;0,31;0,05;0,08;0,86;0,08;0,08;0,22;0,21;0,6;0,29;0,36;0,15;0,29;0,9;0,8
181;27;2;1;24;4;1;37;89;0,64;0,37;0,09;0,04;0,6;1,58;1,24;0,1;0,3;0,46;0,24;0,07;0,11;0,17;0,31;0,49;0,14;0,35;0,18;0,24;2,06;0,41
182;27;2;1;53;3;0;27;89;0,68;0,39;0,26;0,17;0,51;1,19;0,89;0,3;0,41;0,62;0,43;0,05;0,06;0,16;0,17;0,47;0,19;0,34;0,18;0,28;1,03;0,57
183;27;2;1;77;3;1;31;89;0,84;0,18;0,16;0,13;0,65;1,18;0,99;0,19;0,07;0,1;0,71;0,06;0,07;0,14;0,27;0,55;0,19;0,26;0,12;0,19;1,14;0,72
184;27;2;1;118;3;1;47;89;0,62;0,42;0,15;0,09;0,53;1,36;1,17;0,2;0,17;0,28;0,54;0,08;0,11;0,23;0,27;0,59;0,17;0,38;0,16;0,28;1,84;0,45
185;27;2;1;73;3;1;43;89;0,4;0,64;0,15;0,06;0,34;0,78;0,67;0,12;0,33;0,61;0,26;0,07;0,06;0,15;0,12;0,31;0,24;0,46;0,32;0,41;1,52;0,51
186;27;2;1;111;3;1;40;89;0,55;0,53;0,27;0,14;0,4;1,09;0,8;0,29;0,24;0,31;0,55;0,09;0,1;0,21;0,43;0,89;0,12;0,23;0,03;0,13;1,47;0,5
187;27;2;1;120;1;1;59;89;0,49;0,63;0,4;0,19;0,3;1,45;0,88;0,57;0,2;0,34;0,74;0,09;0,13;0,33;0,33;0,89;0,14;0,4;0,05;0,27;2,15;0,36
188;27;2;1;57;3;0;44;89;0,49;0,62;0,37;0,18;0,31;0,78;0,49;0,29;0,45;0,79;0,39;0,04;0,03;0,16;0,08;0,38;0,27;0,43;0,27;0,39;0,83;0,64
189;27;2;1;80;2;1;31;89;0,5;0,55;0,16;0,08;0,42;1,31;1,1;0,21;0,68;1,06;0,24;0,05;0,06;0,2;0,17;0,56;0,14;0,36;0,16;0,3;1,75;0,38
190;27;2;1;50;3;0;37;89;0,76;0,35;0,42;0,32;0,44;1,06;0,61;0,44;-0,2;-0,29;1,85;0,08;0,09;0,16;0,3;0,55;0,21;0,29;0,13;0,21;1,15;0,72
191;27;2;1;68;3;1;45;89;0,47;0,58;0,19;0,09;0,38;0,75;0,61;0,14;0,19;0,39;0,43;0,07;0,05;0,16;0,1;0,3;0,32;0,48;0,36;0,43;1,27;0,63
192;27;2;1;54;3;1;62;89;0,52;0,57;0,3;0,15;0,36;1,11;0,78;0,33;0,45;0,65;0,42;0,07;0,07;0,26;0,23;0,83;0,15;0,32;0,05;0,25;1,39;0,46
193;27;2;1;123;3;1;52;89;0,46;0,79;0,69;0,32;0,14;0,92;0,28;0,64;0,35;0,41;0,64;0,07;0,06;0,12;0,49;0,92;0,08;0,16;0,01;0,07;1,01;0,5
194;27;2;1;94;1;0;33;89;1,08;0;0,64;0,67;0,65;0,84;0,3;0,53;-0,31;-0,37;1,99;0,1;0,08;0,18;0,47;1,03;0,37;0,17;-0,01;0,09;0,35;1,1
195;27;2;1;73;3;1;61;89;0,66;0,61;0,66;0,43;0,22;1,17;0,4;0,77;0,09;0,15;0,9;0,07;0,09;0,16;0,2;0,37;0,24;0,43;0,27;0,34;0,92;0,56
196;27;2;1;17;4;1;53;89;0,97;0,06;0,58;0,57;0,41;1,14;0,48;0,67;-0,03;-0,03;1,04;0,02;0,02;0,08;0,15;0,51;0,13;0,16;0,08;0,13;0,54;0,85
197;27;2;1;50;4;0;34;89;1,02;0;0,23;0,23;0,65;1,71;1,24;0,52;0,11;0,11;0,83;0,03;0,08;0,18;0,65;1,54;0,08;0,16;-0,09;0,06;1,6;0,45
198;27;2;1;106;4;1;40;89;0,73;0,35;0,3;0,22;0,51;1,02;0,71;0,31;-0,09;-0,14;1,42;0,09;0,09;0,19;0,28;0,57;0,25;0,34;0,15;0,25;1,18;0,72
199;27;2;0;68;2;0;43;89;0,49;0,63;0,37;0,18;0,31;0,98;0,61;0,36;-0,05;-0,08;1,16;0,05;0,05;0,16;0,14;0,44;0,19;0,38;0,21;0,32;1,69;0,5
200;27;2;0;98;3;0;42;89;0,41;0,91;0,79;0,35;0,06;0,58;0,08;0,5;-0,12;-0,19;1,32;0,09;0,05;0,08;0,13;0,21;0,28;0,39;0,31;0,34;1,03;0,71
201;27;2;0;112;1;0;42;89;0,86;0,54;0,79;0,67;0,12;0,51;0,07;0,44;-0,03;-0,04;1,08;0,07;0,04;0,06;0,14;0,23;0,37;0,26;0,2;0,22;0,35;1,1
202;27;2;0;95;3;1;44;89;0,72;0,39;0,39;0,28;0,44;1,58;0,97;0,61;0,49;0,63;0,55;0,08;0,12;0,33;0,56;1,54;0,1;0,22;-0,09;0,1;1,1;0,46
203;27;2;0;125;3;0;38;89;0,86;0,32;0,65;0,56;0,3;1,2;0,42;0,79;-0,3;-0,41;1,61;0,09;0,1;0,23;0,39;0,84;0,19;0,27;0,04;0,17;0,91;0,71
204;27;2;0;199;1;1;47;89;0,77;0,35;0,44;0,34;0,43;0,94;0,53;0,41;0,18;0,24;0,69;0,06;0,06;0,15;0,24;0,6;0,21;0,25;0,1;0,19;0,63;0,82
205;27;2;0;67;3;0;50;89;0,41;0,69;0,36;0,15;0,26;0,61;0,39;0,22;0,13;0,18;0,62;0,07;0,04;0,16;0,18;0,69;0,16;0,23;0,07;0,19;1,12;0,68
206;27;2;1;102;3;1;30;89;0,83;0,32;0,55;0,45;0,37;1,71;1,19;0,88;0,77;1,05;0,65;0,04;0,09;0,2;0,34;0,75;0,09;0,27;0,07;0,18;0,97;0,36
207;27;2;1;70;4;1;43;89;0,8;0,46;0,71;0,57;0,23;1,71;0,54;0,88;-0,27;-0,32;1,25;0,05;0,09;0,2;0,57;1,27;0,08;0,16;-0,04;0,07;1,27;0,43
208;27;2;1;86;1;1;37;89;1,08;0;0,27;0,3;0,65;1,71;1,24;0,47;0,18;0,28;0,72;0,04;0,07;0,2;0,21;0,56;0,22;0,35;0,16;0,28;0,94;0,63
209;27;2;1;82;1;1;36;89;0,77;0,26;0,18;0,14;0,64;1,32;1,09;0,23;0,13;0,19;0,65;0,07;0,1;0,26;0,28;0,74;0,21;0,35;0,09;0,25;1,35;0,59
210;27;2;1;93;1;1;36;89;0,86;0,16;0,1;0,09;0,65;1,13;1,01;0,12;0,22;0,31;0,35;0,1;0,11;0,25;0,36;0,83;0,23;0,3;0,05;0,19;0,99;0,76
211;27;2;1;109;3;0;40;89;0,72;0,46;0,54;0,39;0,34;1,14;0,53;0,61;-0,25;-0,36;1,67;0,1;0,11;0,21;0,36;0,66;0,2;0,32;0,11;0,2;1,22;0,63
212;27;2;1;53;3;1;38;89;1,08;0;0,31;0,33;0,65;1,12;0,78;0,34;0,1;0,15;0,78;0,07;0,08;0,28;0,23;0,85;0,32;0,33;0,05;0,25;0,6;0,96
213;27;2;1;99;1;0;45;89;1,08;0;0,4;0,47;0,65;1,11;0,67;0,44;-0,04;-0,05;1,09;0,07;0,08;0,18;0,34;0,74;0,26;0,24;0,06;0,16;0,54;1,07
214;27;2;1;72;3;1;31;89;0,94;0,11;0,5;0,47;0,47;1,55;0,77;0,78;0,04;0,06;0,95;0,05;0,08;0,18;0,28;0,63;0,18;0,29;0,11;0,21;0,83;0,61
215;27;2;1;70;3;1;56;89;0,43;0,64;0,26;0,11;0,32;0,91;0,67;0,24;0,16;0,25;0,61;0,1;0,09;0,21;0,23;0,54;0,18;0,39;0,18;0,3;1,72;0,47
216;27;2;1;115;3;0;53;89;0,57;0,63;0,56;0,32;0,25;1,37;0,61;0,77;-0,18;-0,23;1,3;0,08;0,11;0,16;0,43;0,64;0,1;0,25;0,09;0,14;1,8;0,42
217;27;2;1;72;3;1;36;89;0,65;0,41;0,23;0,15;0,5;1,59;1,23;0,36;0,2;0,31;0,64;0,08;0,12;0,21;0,35;0,6;0,14;0,35;0,14;0,23;1,88;0,41
218;27;2;1;86;1;1;32;89;0,46;0,57;0,1;0,05;0,41;0,82;0,73;0,08;0,53;0,86;0,14;0,06;0,05;0,09;0,13;0,24;0,22;0,39;0,3;0,34;1,18;0,56
219;27;2;1;53;3;1;35;89;0,56;0,49;0,16;0,09;0,47;1,61;1,24;0,26;0,28;0,32;0,48;0,04;0,07;0,21;0,59;1,54;0,08;0,16;-0,09;0,06;2,15;0,36
220;27;2;1;61;1;1;37;89;0,63;0,41;0,14;0,09;0,54;1,71;1,24;0,29;0,44;0,46;0,4;0,09;0,15;0,33;0,65;1,54;0,08;0,16;-0,09;0,06;2,15;0,36
221;27;2;1;55;3;1;50;89;0,65;0,48;0,42;0,27;0,38;1,71;1,02;0,74;0,02;0,03;0,97;0,05;0,09;0,21;0,23;0,55;0,14;0,37;0,17;0,29;1,94;0,37
222;27;2;1;64;3;1;30;89;0,69;0,43;0,41;0,29;0,41;1,47;0,86;0,61;-0,18;-0,23;1,41;0,05;0,07;0,24;0,29;0,98;0,12;0,24;0,01;0,17;1,68;0,47
223;27;2;1;60;3;1;42;89;0,34;0,71;0,2;0,07;0,27;0,7;0,56;0,14;0,26;0,37;0,36;0,08;0,06;0,15;0,19;0,5;0,15;0,3;0,15;0,24;1,68;0,48
224;27;2;1;87;3;1;34;89;0,54;0,49;0,13;0,07;0,47;1,1;0,96;0,14;0,58;0,88;0,2;0,05;0,06;0,16;0,18;0,48;0,17;0,34;0,17;0,28;1,31;0,49
225;27;2;1;130;3;1;38;89;0,81;0,31;0,48;0,39;0,42;1,5;0,77;0,72;-0,31;-0,44;1,76;0,07;0,11;0,24;0,36;0,78;0,16;0,3;0,07;0,19;1,43;0,54
226;27;2;1;66;3;0;44;89;0,96;0,06;0,4;0,39;0,57;1,18;0,7;0,48;-0,16;-0,23;1,49;0,05;0,05;0,15;0,16;0,45;0,27;0,33;0,18;0,27;0,91;0,82
227;27;2;0;245;1;0;49;89;1,08;0;0,48;0,57;0,63;1,71;0,95;0,86;-0,32;-0,44;1,59;0,08;0,15;0,33;0,35;1,54;0,28;0,42;-0,09;0,28;0,98;0,66
228;27;2;1;112;1;1;46;89;0,74;0,32;0,24;0,18;0,56;1,53;1,16;0,37;0,07;0,11;0,84;0,11;0,15;0,26;0,42;0,67;0,19;0,39;0,13;0,22;1,63;0,48
229;27;2;1;64;3;0;54;89;0,5;0,7;0,57;0,28;0,22;0,9;0,39;0,51;0,24;0,33;0,68;0,09;0,09;0,16;0,3;0,57;0,16;0,29;0,12;0,2;1,04;0,56
230;27;2;1;69;3;1;50;89;0,83;0,22;0,23;0,19;0,64;1,25;0,96;0,29;0,16;0,24;0,65;0,11;0,13;0,22;0,38;0,63;0,23;0,34;0,13;0,21;1,07;0,66
231;27;2;1;108;3;1;48;89;0,71;0,44;0,47;0,34;0,37;1,71;1;0,88;-0,32;-0,4;1,54;0,11;0,15;0,33;0,65;1,54;0,08;0,21;-0,09;0,06;2,1;0,37
232;27;2;1;101;3;0;36;89;0,53;0,73;0,66;0,35;0,18;0,71;0,24;0,47;-0,11;-0,13;1,29;0,07;0,05;0,14;0,3;0,87;0,12;0,16;0,02;0,11;0,98;0,75
233;27;1;1;166;1;1;35;90;0,25;0,81;0,3;0,07;0,18;0,43;0,3;0,13;0,83;1,48;0,13;0,11;0,05;0,24;0,09;0,49;0,28;0,48;0,25;0,43;0,76;0,58
234;27;1;1;101;1;0;35;90;0,42;0,61;0,14;0,06;0,36;0,68;0,58;0,1;0,66;1,07;0,13;0,05;0,03;0,22;0,08;0,56;0,24;0,39;0,17;0,35;0,86;0,62
235;27;1;1;138;3;1;42;90;0,44;0,6;0,14;0,06;0,38;1;0,86;0,14;0,52;0,84;0,21;0,05;0,05;0,14;0,14;0,37;0,17;0,38;0,24;0,33;1,64;0,44
236;27;1;1;166;1;1;50;90;0,39;0,66;0,19;0,07;0,32;0,94;0,76;0,18;0,61;1,09;0,22;0,11;0,1;0,24;0,23;0,56;0,18;0,44;0,2;0,34;1,63;0,41
237;27;1;0;137;4;1;33;90;0,66;0,37;0,11;0,07;0,58;1,14;1,01;0,13;0,67;1,22;0,16;0,08;0,09;0,21;0,21;0,47;0,26;0,45;0,24;0,36;0,93;0,58
238;27;1;1;107;1;1;45;90;0,39;0,66;0,21;0,08;0,31;1,06;0,84;0,22;0,6;1,05;0,27;0,06;0,06;0,19;0,14;0,43;0,16;0,44;0,25;0,38;1,91;0,37
239;27;1;1;100;1;0;34;90;0,63;0,4;0,13;0,08;0,55;0,61;0,53;0,08;0,55;0,86;0,13;0,06;0,04;0,18;0,11;0,5;0,37;0,36;0,18;0,32;0,35;1,04
240;27;1;1;69;1;1;30;90;0,62;0,42;0,16;0,1;0,52;1,24;1,04;0,2;0,57;0,83;0,26;0,06;0,08;0,2;0,25;0,64;0,16;0,31;0,11;0,24;1,24;0,5
241;27;1;1;176;1;1;44;90;0,13;0,88;0,09;0,02;0,12;0,32;0,29;0,05;0,22;0,38;0,11;0,11;0,04;0,08;0,09;0,19;0,18;0,43;0,35;0,39;2,15;0,41
242;27;1;0;177;1;1;39;90;0,4;0,68;0,28;0,11;0,29;1,1;0,79;0,31;0,61;0,96;0,34;0,06;0,07;0,18;0,19;0,49;0,13;0,36;0,18;0,29;1,84;0,36
243;27;1;1;108;1;1;40;90;0,33;0,68;0,09;0,02;0,31;0,63;0,59;0,05;0,48;0,89;0,08;0,09;0,06;0,16;0,13;0,34;0,24;0,46;0,3;0,4;1,38;0,53
244;27;1;1;123;3;1;40;90;0,44;0,7;0,43;0,19;0,25;0,71;0,41;0,31;0,37;0,52;0,46;0,08;0,06;0,13;0,19;0,45;0,18;0,3;0,16;0,24;0,97;0,61
245;27;1;1;87;3;1;40;90;0,16;0,85;0,09;0,02;0,15;0,41;0,39;0,05;0,89;1,48;0,07;0,1;0,04;0,12;0,1;0,27;0,16;0,43;0,31;0,38;1,57;0,38
246;27;1;1;139;1;1;52;90;0,39;0,65;0,16;0,06;0,33;0,7;0,59;0,11;0,36;0,54;0,24;0,08;0,05;0,14;0,16;0,41;0,18;0,33;0,19;0,27;1,31;0,56
247;27;1;1;57;3;1;49;90;0,33;0,68;0,09;0,02;0,31;1,12;1,06;0,06;0,57;0,73;0,1;0,02;0,02;0,06;0,11;0,28;0,08;0,23;0,16;0,2;2,15;0,36
248;27;1;0;220;1;0;44;90;0,46;0,69;0,47;0,22;0,25;0,56;0,3;0,26;0,4;0,64;0,4;0,09;0,05;0,17;0,14;0,46;0,31;0,37;0,2;0,32;0,55;0,83
249;27;1;1;110;1;1;40;90;0,5;0,58;0,27;0,13;0,36;0,92;0,67;0,25;0,21;0,37;0,54;0,06;0,06;0,23;0,14;0,54;0,23;0,42;0,19;0,36;1,39;0,54
250;27;1;1;132;1;1;45;90;0,24;0,78;0,09;0,02;0,22;0,64;0,59;0,05;0,31;0,51;0,14;0,11;0,09;0,27;0,23;0,69;0,15;0,39;0,12;0,3;2,15;0,37
251;27;1;0;136;1;0;35;90;0,25;0,83;0,38;0,09;0,15;0,42;0,26;0,16;0,89;1,48;0,15;0,03;0,01;0,06;0,03;0,14;0,26;0,44;0,38;0,43;0,64;0,59
252;27;1;1;84;3;1;40;90;0,42;0,76;0,56;0,23;0,19;0,7;0,31;0,39;0,11;0,14;0,77;0,02;0,01;0,12;0,06;0,53;0,13;0,22;0,1;0,21;1,15;0,61
253;27;1;1;119;3;0;49;90;0,4;0,64;0,17;0,07;0,33;0,46;0,39;0,08;0,2;0,28;0,28;0,11;0,05;0,12;0,18;0,41;0,25;0,28;0,17;0,23;0,88;0,87
254;27;1;1;97;1;1;40;90;0,69;0,32;0,09;0,02;0,65;1,46;1,24;0,05;0,58;1,09;0,08;0,04;0,06;0,15;0,13;0,32;0,22;0,47;0,32;0,41;1,5;0,47
255;27;1;1;73;3;0;35;90;0,46;0,6;0,23;0,11;0,36;0,78;0,6;0,18;0,47;0,69;0,27;0,05;0,04;0,13;0,12;0,41;0,19;0,32;0,19;0,28;1,03;0,6
256;27;1;1;36;3;1;28;90;0,69;0,35;0,16;0,11;0,58;1,47;1,24;0,23;0,21;0,32;0,53;0,03;0,04;0,18;0,12;0,53;0,16;0,34;0,16;0,3;1,7;0,47
257;27;1;1;78;3;1;35;90;0,2;0,84;0,25;0,05;0,15;0,49;0,37;0,12;0,89;1,33;0,12;0,06;0,03;0,09;0,1;0,29;0,13;0,32;0,23;0,29;1,37;0,42
258;27;1;1;94;1;1;35;90;0,73;0,32;0,18;0,13;0,59;1,38;1,13;0,25;0,51;0,92;0,33;0,08;0,11;0,24;0,25;0,53;0,24;0,45;0,21;0,34;1,14;0,53
259;27;1;0;97;4;0;48;90;0,56;0,5;0,19;0,11;0,45;0,66;0,53;0,13;0,37;0,49;0,26;0,09;0,06;0,16;0,24;0,62;0,21;0,25;0,1;0,19;0,7;0,84
